"","Mat_Bat","Inns_Bat","NO","Runs_Bat","HS","Ave_Bat","BF","SR_Bat","100","50","4s","6s","Ct","St","Mat_Bowl","Inns_Bowl","Balls","Runs_Bowl","Wkts","Ave_Bowl","Econ","SR_Bowl","4w","5w","10","Full_Name","Country","Batting_Style","Bowling_Style"
"11",5,1,0,7,7,7,13,53.84,0,0,0,0,2,0,5,5,264,224,5,44.8,5.09,52.8,0,0,0," Mohammad Nazmul Islam","Bangladesh","Batting style Left-hand bat","Bowling style Slow left-arm orthodox"
"12",20,12,8,61,16,15.25,84,72.61,0,0,5,3,6,0,20,20,939,772,27,28.59,4.93,34.7,0,0,0," Aftab Alam","Afghanistan","Batting style Right-hand bat","Bowling style Right-arm medium-fast"
"13",23,10,4,40,15,6.66,41,97.56,0,0,5,1,2,0,23,23,1308,839,44,19.06,3.84,29.7,2,1,0," Mujeeb Ur Rahman","Afghanistan","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"14",49,41,8,757,82,22.93,1061,71.34,0,5,53,22,9,0,49,45,1514,1319,37,35.64,5.22,40.9,2,0,0," Gulbadin Naib","Afghanistan","Batting style Right-hand bat","Bowling style Right-arm medium-fast"
"15",106,95,11,2435,116,28.98,2763,88.12,1,12,152,80,50,0,106,103,5058,3585,114,31.44,4.25,44.3,2,0,0," Mohammad Nabi","Afghanistan","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"16",52,38,7,676,60,21.8,668,101.19,0,3,61,18,17,0,52,50,2623,1708,118,14.47,3.9,22.2,4,4,0," Rashid Khan Arman","Afghanistan","Batting style Right-hand bat","Bowling style Legbreak googly"
"17",79,69,10,1733,96,29.37,2669,64.93,0,11,132,25,21,0,79,63,2003,1638,44,37.22,4.9,45.5,1,0,0," Samiullah Shinwari","Afghanistan","Batting style Right-hand bat","Bowling style Legbreak"
"18",76,76,3,2508,131,34.35,2826,88.74,5,13,292,53,59,24,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Mohammad Shahzad Mohammadi","Afghanistan","Batting style Right-hand bat",NA
"19",16,16,2,307,57,21.92,440,69.77,0,3,38,6,10,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Ihsanullah Janat","Afghanistan","Batting style Right-hand bat",NA
"20",53,49,2,1713,114,36.44,2424,70.66,3,12,132,19,13,0,53,19,404,400,12,33.33,5.94,33.6,0,1,0," Rahmat Shah Zurmatai","Afghanistan","Batting style Right-hand bat","Bowling style Legbreak googly"
"21",25,25,5,675,97,33.75,1057,63.85,0,5,52,0,6,0,25,2,18,25,0,NA,8.33,NA,0,0,0," Hashmatullah Shahidi","Afghanistan","Batting style Left-hand bat","Bowling style Right-arm offbreak"
"22",94,88,6,1787,101,21.79,2810,63.59,1,8,122,42,18,0,94,7,139,91,3,30.33,3.92,46.3,0,0,0," Mohammad Asghar Afghan","Afghanistan","Batting style Right-hand bat","Bowling style Right-arm medium-fast"
"23",19,10,5,44,19,8.8,94,46.8,0,0,1,1,4,0,19,19,944,889,32,27.78,5.65,29.5,0,1,0," Lachlan Hammond Ferguson","New Zealand","Batting style Right-hand bat","Bowling style Right-arm fast"
"24",26,26,4,1275,210,57.95,1305,97.7,3,8,151,20,12,0,26,5,99,80,1,80,4.84,99,0,0,0," Fakhar Zaman","Pakistan","Batting style Left-hand bat","Bowling style Slow left-arm orthodox"
"25",203,202,14,6153,140,32.72,8143,75.56,11,34,624,99,78,0,203,165,7409,5073,137,37.02,4.1,54,1,0,0," Mohammad Hafeez","Pakistan","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"26",54,52,8,2267,125,51.52,2674,84.77,8,9,180,22,27,0,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Mohammad Babar Azam","Pakistan","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"27",26,25,3,960,89,43.63,1175,81.7,0,10,75,14,9,0,26,15,528,503,10,50.3,5.71,52.8,0,0,0," Haris Sohail","Pakistan","Batting style Left-hand bat","Bowling style Slow left-arm orthodox"
"28",274,246,40,7284,143,35.35,8910,81.75,9,43,588,111,94,0,274,211,7868,6102,156,39.11,4.65,50.4,1,0,0," Shoaib Malik","Pakistan","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"29",11,8,1,200,50,28.57,153,130.71,0,1,13,12,2,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Asif Ali","Pakistan","Batting style Right-hand bat","Bowling style Right-arm medium-fast"
"30",16,10,2,104,23,13,135,77.03,0,0,7,5,5,0,16,16,573,409,18,22.72,4.28,31.8,0,1,0," Faheem Ashraf","Pakistan","Batting style Left-hand bat","Bowling style Right-arm medium"
"31",41,20,6,143,51,10.21,149,95.97,0,1,8,7,11,0,41,40,1981,1756,75,23.41,5.31,26.4,1,3,0," Hasan Ali","Pakistan","Batting style Right-hand bat","Bowling style Right-arm medium-fast"
"32",98,73,16,1894,105,33.22,2188,86.56,2,9,145,10,96,23,98,1,12,15,0,NA,7.5,NA,0,0,0," Sarfraz Ahmed","Pakistan","Batting style Right-hand bat",NA
"33",29,13,5,239,54,29.87,358,66.75,0,3,14,3,7,0,29,28,1357,1051,42,25.02,4.64,32.3,3,0,0," Shadab Khan","Pakistan","Batting style Right-hand bat","Bowling style Legbreak"
"34",6,2,1,14,14,14,22,63.63,0,0,0,1,0,0,6,6,281,229,13,17.61,4.88,21.6,2,0,0," Shaheen Shah Afridi","Pakistan","Batting style Left-hand bat","Bowling style Left-arm medium"
"35",36,14,5,170,48,18.88,172,98.83,0,0,15,7,12,0,36,34,1835,1701,68,25.01,5.56,26.9,5,2,0," Matthew James Henry","New Zealand","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"36",69,31,19,130,21,10.83,169,76.92,0,0,12,5,16,0,69,69,3722,3200,126,25.39,5.15,29.5,5,4,0," Trent Alexander Boult","New Zealand","Batting style Right-hand bat","Bowling style Left-arm fast-medium"
"37",22,18,5,392,74,30.15,370,105.94,0,1,25,20,6,0,22,22,756,651,13,50.07,5.16,58.1,0,0,0," Colin de Grandhomme","New Zealand","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"38",25,9,1,50,24,6.25,71,70.42,0,0,2,3,6,0,25,24,1238,1151,31,37.12,5.57,39.9,1,0,0," Inderbir Singh Sodhi","New Zealand","Batting style Right-hand bat","Bowling style Legbreak"
"39",43,39,1,947,87,24.92,896,105.69,0,6,96,29,16,0,43,21,468,401,7,57.28,5.14,66.8,0,0,0," Colin Munro","New Zealand","Batting style Left-hand bat","Bowling style Right-arm medium-fast"
"40",10,10,2,272,58,34,379,71.76,0,3,23,3,5,0,10,1,6,5,0,NA,5,NA,0,0,0," George Herrick Worker","New Zealand","Batting style Left-hand bat","Bowling style Slow left-arm orthodox"
"41",30,28,8,643,83,32.15,783,82.12,0,6,50,6,14,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Henry Michael Nicholls","New Zealand","Batting style Left-hand bat","Bowling style Right-arm offbreak"
"42",207,192,34,7433,181,47.04,9001,82.57,19,43,614,128,131,0,207,4,42,35,0,NA,5,NA,0,0,0," Luteru Ross Poutoa Lote Taylor","New Zealand","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"43",77,74,8,2203,137,33.37,2674,82.38,4,12,195,28,51,5,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Thomas William Maxwell Latham","New Zealand","Batting style Left-hand bat","Bowling style Right-arm medium"
"44",28,25,2,573,96,24.91,838,68.37,0,5,58,3,20,0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Bradley-John Watling","New Zealand","Batting style Right-hand bat",NA
"45",115,114,6,4935,137,45.69,5234,94.28,15,25,614,63,55,0,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Shikhar Dhawan","India","Batting style Left-hand bat","Bowling style Right-arm offbreak"
"46",44,41,6,1662,146,47.48,2320,71.63,4,7,115,28,38,8,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Shai Diego Hope","West Indies","Batting style Right-hand bat",NA
"47",20,20,0,758,127,37.9,709,106.91,3,2,51,30,9,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Shimron Odilon Hetmyer","West Indies","Batting style Left-hand bat","Bowling style Legbreak googly"
"48",97,94,10,2651,124,31.55,3834,69.14,3,17,225,56,30,0,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Darren Michael Bravo","West Indies","Batting style Left-hand bat","Bowling style Right-arm medium-fast"
"49",139,110,22,2200,169,25,2738,80.35,2,8,165,31,181,7,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Denesh Ramdin","West Indies","Batting style Right-hand bat",NA
"50",101,95,6,2289,119,25.71,2464,92.89,3,9,145,110,53,0,101,70,2044,1956,50,39.12,5.74,40.8,0,0,0," Kieron Adrian Pollard","West Indies","Batting style Right-hand bat","Bowling style Right-arm medium-fast"
"51",28,26,2,323,33,13.45,391,82.6,0,0,20,12,9,0,28,27,1284,1163,26,44.73,5.43,49.3,1,1,0," Carlos Ricardo Brathwaite","West Indies","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"52",4,4,0,25,10,6.25,52,48.07,0,0,2,1,0,0,4,4,138,131,0,NA,5.69,NA,0,0,0," Fabian Anthony Allen","West Indies","Batting style Right-hand bat","Bowling style Slow left-arm orthodox"
"53",11,9,2,115,36,16.42,152,75.65,0,0,4,5,5,0,11,11,508,498,11,45.27,5.88,46.1,0,0,0," Keemo Mandela Angus Paul","West Indies","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"54",4,2,1,0,0,0,4,0,0,0,0,0,0,0,4,4,168,204,6,34,7.28,28,0,0,0," Oshane Romaine Thomas","West Indies","Batting style Left-hand bat","Bowling style Right-arm medium-fast"
"55",6,2,1,4,3,4,12,33.33,0,0,0,0,1,0,6,6,312,264,11,24,5.07,28.3,0,0,0," Khaleel Khursheed Ahmed","India","Batting style Right-hand bat","Bowling style Left-arm medium"
"56",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,60,65,1,65,6.5,60,0,0,0," Washington Sundar","India","Batting style Left-hand bat","Bowling style Right-arm offbreak"
"57",95,44,14,440,53,14.66,598,73.57,0,1,37,6,23,0,95,94,4552,3784,99,38.22,4.98,45.9,2,1,0," Bhuvneshwar Kumar Singh","India","Batting style Right-hand bat","Bowling style Right-arm medium"
"58",34,4,1,16,12,5.33,28,57.14,0,0,2,0,6,0,34,33,1807,1431,56,25.55,4.75,32.2,1,1,0," Yuzvendra Singh Chahal","India","Batting style Right-hand bat","Bowling style Legbreak googly"
